prompt_num,image_num,rating
25,0,2
25,1,4
25,2,3
25,3,5
25,4,4
25,5,3
25,6,4
25,7,3
26,0,4
26,1,4
26,2,3
26,3,2
26,4,1
26,5,4
26,6,5
26,7,3
27,0,2
27,1,1
27,2,4
27,3,3
27,4,5
27,5,4
27,6,3
27,7,2
